lon_bin,lat_bin,yesterday_date,yesterday_pred,yesterday_true,today_date,today_pred,yesterday_diff
-97.075,32.625,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.075,32.675,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.075,32.725,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.075,32.775,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.075,32.825,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.075,32.875,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.075,32.925,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.075,32.975,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.025,32.625,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.025,32.675,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.025,32.725,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.025,32.775,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.025,32.825,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.025,32.875,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.025,32.925,2025-04-12,0,0.0,2025-04-13,0,0.0
-97.025,32.975,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.975,32.625,2025-04-12,0,0.0,2025-04-13,1,0.0
-96.975,32.675,2025-04-12,0,1.0,2025-04-13,0,1.0
-96.975,32.725,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.975,32.775,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.975,32.825,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.975,32.875,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.975,32.925,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.975,32.975,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.925,32.625,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.925,32.675,2025-04-12,1,2.0,2025-04-13,2,1.0
-96.925,32.725,2025-04-12,4,2.0,2025-04-13,4,-2.0
-96.925,32.775,2025-04-12,1,1.0,2025-04-13,1,0.0
-96.925,32.825,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.925,32.875,2025-04-12,1,1.0,2025-04-13,1,0.0
-96.925,32.925,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.925,32.975,2025-04-12,0,0.0,2025-04-13,0,0.0
-96.875,32.625,2025-04-12,2,0.0,2025-04-13,0,-2.0
-96.875,32.675,2025-04-12,4,3.0,2025-04-13,6,-1.0
-96.875,32.725,2025-04-12,7,4.0,2025-04-13,6,-3.0
-96.875,32.775,2025-04-12,5,6.0,2025-04-13,5,1.0
-96.875,32.825,2025-04-12,4,1.0,2025-04-13,2,-3.0
-96.875,32.875,2025-04-12,13,16.0,2025-04-13,15,3.0
-96.875,32.925,2025-04-12,2,1.0,2025-04-13,2,-1.0
-96.875,32.975,2025-04-12,1,0.0,2025-04-13,1,-1.0
-96.825,32.625,2025-04-12,1,0.0,2025-04-13,1,-1.0
-96.825,32.675,2025-04-12,7,3.0,2025-04-13,5,-4.0
-96.825,32.725,2025-04-12,11,1.0,2025-04-13,10,-10.0
