Year-Month,Unemployment_Rate(%),CPI
2023-01,3.8,281.117
2023-02,4.0,281.117
2023-03,3.8,284.862
2023-04,3.3,284.862
2023-05,3.6,287.133
2023-06,3.9,287.133
2023-07,3.9,288.006
2023-08,4.0,288.006
2023-09,3.8,291.001
2023-10,3.6,291.001
2023-11,3.4,293.591
2023-12,3.3,293.591
2024-01,3.9,296.121
2024-02,4.2,296.121
2024-03,3.9,298.719
2024-04,3.4,298.719
2024-05,3.6,301.567
2024-06,4.3,301.567
2024-07,4.1,299.767
2024-08,4.1,299.767
2024-09,3.9,298.653
2024-10,3.9,298.653
2024-11,4.0,299.096
2024-12,3.5,299.096
